productId,brand,name,price_eur,available,category,size_value,main_category
https://www.auchan.fr/granola-biscuits-sables-nappes-de-chocolat-au-lait/pr-C1248117,GRANOLA,Biscuits sablés nappés de chocolat au lait,"5,10€",Available,Epicerie sucrée,0.6,Pain-et-Viennoiserie
https://www.auchan.fr/schweppes-boisson-gazeuse-saveur-agrumes/pr-C1210553,SCHWEPPES,Boisson gazeuse saveur agrumes,"11,50€",Almost there,Epicerie salée,7.931034482758621,Boissons
https://www.auchan.fr/vittel-eau-minerale-naturelle-plate/pr-C1210792,VITTEL,Eau minérale naturelle plate,"3,18€",Available,"Eaux, jus, soda, thés glacés",9.085714285714287,Boissons
https://www.auchan.fr/pampers-baby-dry-couches-taille-5-11-16kg/pr-C1611765,PAMPERS,Baby-Dry couches taille 5 (11-16kg),"14,73€",Almost there,Tout pour bébé,38.76315789473684,Bébé
https://www.auchan.fr/gallia-calisma-3-lait-de-croissance-en-poudre-des-12-mois/pr-C1812079,GALLIA,Calisma 3 lait de croissance en poudre dès 12 mois,"11,49€",Available,"Produits laitiers, oeufs, fromages",0.8302023121387283,Boissons-et-Lait
https://www.auchan.fr/candia-viva-lait-demi-ecreme-vitamine-uht/pr-C1176807,CANDIA,Viva lait demi-écrémé vitaminé UHT,"9,20€",Almost there,"Produits laitiers, oeufs, fromages",8.0,Boissons-et-Lait
https://www.auchan.fr/pouce-lait-demi-ecreme-uht/pr-C1177651,POUCE,Lait demi-écrémé UHT,"5,64€",Available,"Produits laitiers, oeufs, fromages",6.0,Boissons-et-Lait
https://www.auchan.fr/auchan-lait-demi-ecreme/pr-C1718543,AUCHAN,Lait demi-écrémé,"10,00€",Almost there,"Produits laitiers, oeufs, fromages",10.0,Boissons-et-Lait
https://www.auchan.fr/lactel-lait-demi-ecreme-bio-uht/pr-C1177205,LACTEL,Lait demi-écrémé bio UHT,"12,15€",Almost there,Surgelés,7.993421052631579,Boissons-et-Lait
https://www.auchan.fr/candia-viva-lait-vitamine-uht/pr-C1177788,CANDIA,Viva - Lait vitaminé UHT,"6,59€",Available,Bio et nutrition,5.99090909090909,Boissons-et-Lait
https://www.auchan.fr/lactel-lait-demi-ecreme-bio-uht/pr-C1178021,LACTEL,Lait demi-écrémé bio UHT,"6,74€",Available,Surgelés,6.017857142857142,Boissons-et-Lait
https://www.auchan.fr/lactel-lait-demi-ecreme-bio-uht/pr-C1178022,LACTEL,Lait demi-écrémé bio UHT,"1,61€",Available,Surgelés,1.0,Boissons-et-Lait
https://www.auchan.fr/lactel-lait-demi-ecreme-uht/pr-C1176896,LACTEL,Lait demi-écrémé UHT,"10,10€",Almost there,"Produits laitiers, oeufs, fromages",8.015873015873016,Boissons-et-Lait
https://www.auchan.fr/candia-viva-lait-demi-ecreme-uht-vitamine/pr-C1177780,CANDIA,Viva - Lait demi-écrémé UHT vitaminé,"7,02€",Almost there,Surgelés,3.0,Boissons-et-Lait
https://www.auchan.fr/auchan-solidaires-cultivons-le-bon-lait-ecreme-uht/pr-C1170530,AUCHAN SOLIDAIRES,CULTIVONS LE BON - Lait écrémé UHT,"1,04€",Available,Tout pour bébé,1.0,Boissons-et-Lait
https://www.auchan.fr/lactel-lait-ecreme-bio-uht/pr-C1177943,LACTEL,Lait écrémé bio UHT,"9,87€",Almost there,Surgelés,5.9818181818181815,Boissons-et-Lait
https://www.auchan.fr/candy-up-boisson-lactee-au-chocolat/pr-C1177783,CANDY'UP,Boisson lactée au chocolat,"2,85€",Available,Epicerie sucrée,1.1974789915966388,Boissons-et-Lait
https://www.auchan.fr/candy-up-boisson-lactee-a-la-fraise/pr-C1177782,CANDY'UP,Boisson lactée à la fraise,"2,81€",Available,Surgelés,1.200854700854701,Boissons-et-Lait
https://www.auchan.fr/candy-up-boisson-lactee-a-la-vanille/pr-C1177781,CANDY'UP,Boisson lactée à la vanille,"2,81€",Almost there,"Produits laitiers, oeufs, fromages",1.200854700854701,Boissons-et-Lait
https://www.auchan.fr/candy-up-boisson-lactee-au-chocolat-et-coco-michou/pr-C1791610,CANDY'UP,Boisson lactée au chocolat et coco Michou,"2,65€",Available,Epicerie sucrée,1.1990950226244343,Boissons-et-Lait
https://www.auchan.fr/cacolac-boisson-au-lait-et-au-cacao-boites/pr-C1206086,CACOLAC,Boisson au lait et au cacao boîtes,"5,93€",Available,Epicerie sucrée,1.50126582278481,Boissons-et-Lait
https://www.auchan.fr/candy-up-boisson-lactee-au-chocolat/pr-C1303477,CANDY'UP,Boisson lactée au chocolat,"5,35€",Almost there,Epicerie sucrée,2.399103139013453,Boissons-et-Lait
https://www.auchan.fr/auchan-oeufs-de-poules-elevees-en-plein-air-label-rouge/pr-C1171925,AUCHAN,Oeufs de poules élevées en plein air Label Rouge,"2,11€",Almost there,"Boucherie, volaille, poissonnerie",6.0285714285714285,Boucherie-et-Volaille
https://www.auchan.fr/auchan-solidaires-bio-cultivons-le-bon-oeufs-de-poules-elevees-en-plein-air/pr-C1171040,AUCHAN SOLIDAIRES BIO,CULTIVONS LE BON Œufs de poules élevées en plein air,"6,20€",Available,"Boucherie, volaille, poissonnerie",18.23529411764705,Charcuterie-et-Volaille
https://www.auchan.fr/paysan-breton-beurre-moule-doux/pr-C1169288,PAYSAN BRETON,Beurre moulé doux,"4,99€",Almost there,"Produits laitiers, oeufs, fromages",0.5,Epicerie-Sucrée
https://www.auchan.fr/elle-vire-mini-beurre-doux-gastronomique/pr-C1177993,ELLE & VIRE,Mini-beurre doux gastronomique,"3,37€",Available,"Produits laitiers, oeufs, fromages",0.1999999999999999,Epicerie-Sucrée
