,url,brand,product_name,price,price_per_unit,rating,status,category,time,price_numeric,price_per_unit_numeric,quantity,confidence,new_cat
0,https://www.auchan.fr/granola-biscuits-sables-nappes-de-chocolat-au-lait/pr-C1248117,GRANOLA,Biscuits sablés nappés de chocolat au lait,"5,10€","8,50€ / kg",4.7,Available,Epicerie sucrée,2025-01-09 10:54:17,5.1,8.5,0.6,0.8778694868087769,Pain-et-Viennoiserie
1,https://www.auchan.fr/schweppes-boisson-gazeuse-saveur-agrumes/pr-C1210553,SCHWEPPES,Boisson gazeuse saveur agrumes,"11,50€","1,45€ / l",4.8,Almost there,Epicerie salée,2025-01-09 10:54:22,11.5,1.45,7.931034482758621,0.6803641319274902,Boissons
2,https://www.auchan.fr/vittel-eau-minerale-naturelle-plate/pr-C1210792,VITTEL,Eau minérale naturelle plate,"3,18€","0,35€ / l",4.6,Available,"Eaux, jus, soda, thés glacés",2025-01-09 10:54:24,3.18,0.35,9.085714285714287,0.8820685148239136,Boissons
3,https://www.auchan.fr/pampers-baby-dry-couches-taille-5-11-16kg/pr-C1611765,PAMPERS,Baby-Dry couches taille 5 (11-16kg),"14,73€","0,38€ / pce",4.5,Almost there,Tout pour bébé,2025-01-09 10:54:26,14.73,0.38,38.76315789473684,0.5595077276229858,Bébé
4,https://www.auchan.fr/gallia-calisma-3-lait-de-croissance-en-poudre-des-12-mois/pr-C1812079,GALLIA,Calisma 3 lait de croissance en poudre dès 12 mois,"11,49€","13,84€ / kg",3.0,Available,"Produits laitiers, oeufs, fromages",2025-01-09 10:54:30,11.49,13.84,0.8302023121387283,0.6628248691558838,Boissons-et-Lait
5,https://www.auchan.fr/candia-viva-lait-demi-ecreme-vitamine-uht/pr-C1176807,CANDIA,Viva lait demi-écrémé vitaminé UHT,"9,20€","1,15€ / l",4.5,Almost there,"Produits laitiers, oeufs, fromages",2025-01-09 10:54:39,9.2,1.15,8.0,0.7572996616363525,Boissons-et-Lait
6,https://www.auchan.fr/pouce-lait-demi-ecreme-uht/pr-C1177651,POUCE,Lait demi-écrémé UHT,"5,64€","0,94€ / l",4.5,Available,"Produits laitiers, oeufs, fromages",2025-01-09 10:54:43,5.64,0.94,6.0,0.7009534239768982,Boissons-et-Lait
7,https://www.auchan.fr/auchan-lait-demi-ecreme/pr-C1718543,AUCHAN,Lait demi-écrémé,"10,00€","1,00€ / l",4.8,Almost there,"Produits laitiers, oeufs, fromages",2025-01-09 10:54:47,10.0,1.0,10.0,0.6593002676963806,Boissons-et-Lait
8,https://www.auchan.fr/lactel-lait-demi-ecreme-bio-uht/pr-C1177205,LACTEL,Lait demi-écrémé bio UHT,"12,15€","1,52€ / l",4.5,Almost there,Surgelés,2025-01-09 10:54:51,12.15,1.52,7.993421052631579,0.7591191530227661,Boissons-et-Lait
9,https://www.auchan.fr/candia-viva-lait-vitamine-uht/pr-C1177788,CANDIA,Viva - Lait vitaminé UHT,"6,59€","1,10€ / l",4.4,Available,Bio et nutrition,2025-01-09 10:54:59,6.59,1.1,5.99090909090909,0.6251238584518433,Boissons-et-Lait
